Gene_name	abundances_CH2879_noINF	abundances_JJ012_noINF
HK1	17449686.9801876	1268188482.88749
PSMD1	33503075.2015941	2743516676.81517
ECE1	59089445.0983742	81833493.525727
SET	70636972.0911042	65475551.8490919
CEP192	264981307.599932	208587175.891764
ITGB4	330109.799444624	2277074.28289159
VWA8	163370387.481208	30277606.6432051
EIF3B	248465473.118821	219419249.898397
SSRP1	56272873.1688392	965614861.823287
ABCF2	1303521383.05014	2038967989.97001
RPS4X	44045827.5012353	607396966.148596
AXL	780163297.569868	557864585.086012
MYO10	5123228637.1676	106087763.442712
ITGA6	125011862.74221	5853269716.57312
FBXO21	16748028.7168388	131352357.693354
0	116421886.566841	184609222.103757
QRICH1	491571971.951939	71919841.9823834
DCAF1	22905737.5377327	500862100.71105
GNPAT	463579854.240791	293938377.331917
HSPG2	6912815.93916143	195059104.772619
ROCK2	12740243.5061575	1861349779.01702
PTOV1	619129864.339681	653077438.777376
MIA3	16966890.3780214	274273176.990511
TMEM131	496144374.873189	295723636.849107
DICER1	192630217.16642	57232754.3478589
CEP250	40570177.8449467	554119133.932467
HNRNPA0	241614849.627025	1171410227.55718
TES	6903488.66752409	1038824964.92028
GPI	182237635.988428	38358510.0944297
UBE3C	63244801.1694073	100996942.726646
GTPBP4	20469030.7357406	232882993.849926
ITGB1	807109721.991438	1270739987.68969
GTF3C3	75131750.1636084	142368036.287154
SLC4A7	17491056.1732779	238683097.403651
TAP2	331500232.554042	40111758.1345767
USP22	1027469341.92718	2156542266.18531
ARID2	417190353.096616	209074618.357074
U2SURP	129769436.008661	447645027.596875
NUP153	223042496.348339	2517554197.40512
PSMD12	2343052564.82313	220169010.430899
RPS17	6561746.046628	5629411237.61134
RPS12	12413516.3475657	69539891.2067621
ABCF1	216698487.59178	321959189.509736
NFE2L1	287863838.637577	667840428.988171
WARS1	180201319.081092	22452562.3780253
ZFHX4	99070041.5212563	117869075.806704
USP7	1105253354.14321	933674215.130295
MYO1C	905787771.136711	348881516.286542
EIF2S3	1125878947.6155	120625520.497491
TRIP12	2900221668.66415	159822596.525989
ITGAV	2540513831.40257	2843707986.46375
UACA	6878885.44950574	293292383.503563
BPTF	112129467.958505	113253713.149095
OPA1	43081492.7248817	59897813.042984
COX5B	390174253.332396	682352872.334663
PABPC1	646519555.429491	489733401.874367
P4HB	598133300.350302	907181669.404105
AMOTL2	113352238.858673	146212727.014949
AHNAK2	109880711.358507	771654354.520697
SBNO1	287680222.30242	243410657.290808
SMARCA1	1204744096.85898	24174318.1137023
UBA6	90429619.7861378	24893110.5026507
RBM4	3955291071.60825	791706335.244887
DIAPH3	1142049863.52311	200818749.52432
RPL3	957123090.793184	228344970.671954
PCNA	2493876629.5457	1284951261.85838
CSE1L	3902917.51568909	3746093678.95672
WASHC5	7723373.52692349	274665545.855983
ANXA1	930757488.031298	1401303648.96775
0	161227274.912574	309380867.946594
RPL30	47922600.3805248	148496982.28369
SEPTIN2	1770586960.6768	891542428.789803
DDX3X	846767310.171865	489119971.687593
MKLN1	1895113360.0143	189250990.720102
RCN1	5034623.00595904	904374349.733604
CENPE	141145036.453428	101458362.907723
MCM3AP	763024682.337497	78856892.9327222
WDR3	548659706.999157	608719206.899264
COPG2	129759880.704061	974068107.053796
CCT5	4430712.43688744	383853346.605772
ELP1	25580207.2548482	1117912044.86584
SEL1L	3984984197.52592	365520974.665308
RPL10A	416349344.397009	2472958756.79541
NSUN2	118378179.912411	2618791386.51065
RPL19	34282487.3891829	23050484775.2174
HAT1	1090103798.86426	326824477.466423
SETX	70521234.9477864	33167034.6695615
GPAA1	655477211.65839	151266917.334989
DDX21	2163627493.39503	283805100.617481
OGT	130525573.771601	250332579.907955
XPO6	129295755.627126	334896720.036962
DDX60	15359923.6299458	48252978.626061
PSMD13	587844926.83253	3322555683.96491
PCBP1	1822734767.08688	773011349.522661
DPY19L1	2143005163.54026	83689362.8359191
WASHC4	5007797.40946827	43142990.4909683
TTC3	18276577.7249471	341988090.185451
CSPG4	2126067727.83319	56116990705.6427
MTA2	55400811.808492	39996457.5126096
TASOR	1409080296.71055	1632069590.77659
ARHGEF2	463955831.469453	332588812.70994
RBM22	3823482446.5599	1345144193.68443
SF3B5	46405457.985379	222981888.662365
G3BP2	151720188.713866	245027651.104324
DTX3L	27595989.1113487	161428625.545111
GBP3	9884680.66058747	0
VPS45	87609612.5186106	29072677.4168921
TRIM28	272215151.544884	1768164393.7878
SLFN5	178297609.947086	78521920.3764877
HPS3	387743286.884171	160670134.406286
MORF4L2	33239854.1118021	4619252.9824135
THADA	74048588.2345659	455229058.804995
APPBP2	773227115.78697	93889735.2077582
PLOD1	393149697.869072	199408634.796719
SEC24A	401057803.478289	125042499.888842
PTPN23	31028784.6111923	137779769.662091
ABCE1	20185374.1111221	456324678.024288
SH3BP4	166615355.362031	194971055.331243
PAPOLA	324309579.434616	581043736.935364
QARS1	253716845.863368	342196545.45313
RACK1	9813275.65001371	380524571.436762
SERBP1	72013132.257349	1555683605.0101
DDX5	63332275.1264668	10563534599.2224
NUP214	447917916.566685	77107120.837193
ANLN	442882656.588668	3863104498.60801
SNX14	38568944.1566688	1210617695.30899
USP4	361842470.419181	138031905.507227
GTF3C2	216155620.921018	164704636.177275
SIK2	531055516.919015	2251179462.09216
GARS1	850020719.941797	295949132.212311
PSMC4	5601804682.33928	363469557.345398
TNRC18	415613794.388268	207040551.18731
RIOK3	64271971.319377	173265385.619808
KLHL13	771374106.413546	166298513.327319
S100A10	0	33059484.1381348
DDX41	32652550.0836166	421758319.144976
PLXNA3	603892528.0014	32449337.269639
CCT7	18102966.7215731	526207284.839843
KRT15	0	1625473.93936141
KBTBD6	918898674.007919	88608762.086073
DHX36	210941890.726749	99494383.7987126
STT3A	8521937.3050052	2255169329.78726
STT3B	780886809.00897	1466216493.21421
KLHL5	26813440.0172446	2358245309.54605
CDC42BPB	148099898.974017	341382283.068745
EDC4	130058111.249687	452961307.796632
TNPO2	56328194.275317	34040041.8267302
MFN2	421886331.536485	266435988.325487
RIN2	215375889.337554	500246901.219909
ITGA11	6836194169.91061	29224074.5483814
TCP1	592513026.269209	117343203.103933
ACSL3	146520707.467183	2963049719.74837
CCZ1B	180389111.772317	955022616.232864
PUM1	1675007996.08603	63127342.6989827
DHX29	240424704.768083	6061643.42424465
ATP5F1B	153395416.928371	106398594.572168
AP3D1	25397761.8131166	124791453.373166
DHX8	6723787.12489458	130019825.045903
IFIT3	29390733.5033445	107387683.468937
PSMC5	734486010.396668	69362527.4210398
EEF1G	71275919.6067572	872133567.584944
HSPA1B	2472590.54988849	502916843.416433
HNRNPA3	89879990.8339436	10736873.6272821
CUL1	91056563.9001107	7714073054.19727
NMD3	85116855.1972538	1352536265.67811
AMOT	754494912.772416	121511987.448459
POLA1	443694899.738297	830646505.754879
TUBGCP5	126781673.430422	169150642.028731
GSPT2	84284923.3203656	151505082.075479
STAG1	52331173.2388301	5333712.57975677
TTI1	132392904.03899	152570324.212453
ASAP1	16249784.9383845	287921489.236062
PDS5B	18731736.3797619	108427246.788919
CPT1A	726217473.665544	21252756.5975265
FZD2	3538513901.8565	4301555.76136227
PRR14L	968916250.290619	140163440.834192
BZW2	942986238.489121	416706051.221941
ANKRD52	56590283.3255784	1363534955.9058
RBBP7	1019321.63529856	44538734.025183
CLUH	161602061.896061	186248459.508309
CDC27	23957061.2780196	613785976.05487
H1-2	257254085.968069	98664446.1388002
TMEM214	3663739473.53926	652609612.071974
PIP5K1C	185420547.142826	122316947.68021
APOBEC3B	4979316.40565526	6822572351.68037
